profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Leschaux,2014,1,5,9,2017,960460.68,108883.36,2562.31,28,9,2018,960471.23,109004.34,2526.44,114.24
Leschaux,2015,1,5,9,2017,960407.95,108757.55,2597.2,28,9,2018,960453.63,108871.68,2564.9,115.64
Leschaux,2015,2,5,9,2017,960461.01,109069.01,2509.63,6,9,2018,960442.69,109186.18,2473.97,118.27
Leschaux,2015,3,5,9,2017,960356.91,109397.58,2397.1,28,9,2018,960307.14,109476.06,2373.93,87.42
Leschaux,2016,5,5,9,2017,960087.63,109711.96,2322.98,11,7,2018,960052.83,109743.24,2315.94,55.27
Leschaux,2017,2,5,9,2017,960431.32,108832.75,2580.23,28,9,2018,960459.2,108951.63,2540.85,114.87
Leschaux,2017,3,5,9,2017,960434.03,109209.43,2467.42,28,9,2018,960387.83,109319.61,2418.44,112.39
Leschaux,2017,4,5,9,2017,960299.47,109474.32,2377.53,28,9,2018,960249.27,109540.53,2360.51,78.16
Leschaux,2017,5,5,9,2017,960122.21,109664.29,2333.67,28,9,2018,960075.1,109706.59,2319.22,59.56
Leschaux,2017,6,5,9,2017,959744.08,110007.84,2261.51,28,9,2018,959712.45,110032.67,2252.62,37.83
Leschaux,2017,7,5,9,2017,959314.45,110196.05,2211.42,28,9,2018,959287.29,110203.9,2204.17,26.6
