profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Leschaux,2014,1,28,9,2018,960471.23,109004.34,2526.44,10,7,2019,960467.43,109089.07,2502.95,108.62
Leschaux,2015,1,28,9,2018,960453.63,108871.68,2564.9,17,10,2019,960467.01,108982.17,2529.25,105.79
Leschaux,2015,3,28,9,2018,960307.14,109476.06,2373.93,10,7,2019,960273.63,109522.66,2365.97,73.51
Leschaux,2017,1,28,9,2018,960343.55,108664.78,2629.02,17,10,2019,960401.47,108752.76,2594.86,100.12
Leschaux,2017,3,28,9,2018,960387.83,109319.61,2418.44,12,9,2019,960343.61,109397.34,2389.27,93.53
Leschaux,2017,4,28,9,2018,960249.27,109540.53,2360.51,17,10,2019,960201.49,109592.44,2345.49,67.06
Leschaux,2018,5,28,9,2018,960131.65,109670.66,2330.38,17,10,2019,960087.8,109709.67,2316.53,55.79
Leschaux,2018,6,28,9,2018,959747.49,110009.22,2257.34,17,10,2019,959717.82,110031.89,2249.37,35.49
Leschaux,2018,7,28,9,2018,959311.69,110198.79,2205.87,17,10,2019,959286.08,110206.1,2199.27,25.32
Leschaux,2019,5,12,9,2019,960131.29,109661.13,2329.02,17,10,2019,960127.32,109664.68,2327.28,55.54
Leschaux,2019,6,12,9,2019,959754.86,110004.72,2254.99,17,10,2019,959752.16,110006.73,2253.91,35.1
Leschaux,2019,7,12,9,2019,959309.29,110196.56,2202.43,17,10,2019,959306.81,110197.3,2201.43,26.99
