profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Leschaux,2007,2,10,9,2009,960459.89,109085.85,2514.64,10,9,2010,960438.61,109199.7,2481.0,115.82
Leschaux,2008,2,10,9,2009,960468.74,108925.77,2559.2,10,9,2010,960471.14,109040.01,2527.12,114.27
Leschaux,2008,3,10,9,2009,960393.78,109314.2,2439.09,10,9,2010,960344.28,109398.83,2410.58,98.04
Leschaux,2008,4,10,9,2009,960248.36,109525.89,2384.2,10,9,2010,960199.99,109579.89,2370.8,72.5
