profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Leschaux,2007,2,5,9,2007,960430.0,108832.0,2580.0,10,9,2008,960463.06,108970.98,2546.75,140.93
Leschaux,2007,3,5,9,2007,960436.0,109207.0,2490.0,10,9,2008,960375.99,109310.94,2440.53,118.4
Leschaux,2007,4,5,9,2007,960298.0,109465.0,2425.0,10,9,2008,960245.59,109531.05,2386.97,83.18
Leschaux,2007,5,5,9,2007,960135.0,109668.0,2390.0,10,9,2008,960075.88,109712.75,2348.66,73.14
Leschaux,2007,6,5,9,2007,959753.0,110014.0,2325.0,10,9,2008,959717.1,110035.84,2290.66,41.45
Leschaux,2007,7,5,9,2007,959318.0,110195.0,2290.0,10,9,2008,959286.84,110198.15,2243.66,30.9
