profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2010,1,15,10,2010,18,10,2011,957179.69,111294.04,2021.11,-7.09
Langue,2010,2,15,10,2010,18,10,2011,957061.14,111579.97,1990.74,-7.16
Langue,2010,3,15,10,2010,18,10,2011,957033.41,111744.27,1980.44,-8.12
Langue,2010,4,15,10,2010,18,10,2011,956904.22,111963.82,1963.0,-7.86
Langue,2010,6,15,10,2010,18,10,2011,955635.29,113138.82,1774.59,-11.23
Langue,2010,7,15,10,2010,18,10,2011,955619.58,113318.83,1749.79,-11.0
Langue,2010,8,15,10,2010,18,10,2011,955624.04,113413.43,1737.61,-10.43
