profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2011,1,18,10,2011,13,10,2012,957181.8,111265.49,2019.41,-6.88
Langue,2011,2,18,10,2011,13,10,2012,957055.7,111549.86,1987.34,-6.94
Langue,2011,3,18,10,2011,13,10,2012,957032.1,111710.07,1979.85,-7.09
Langue,2011,4,18,10,2011,13,10,2012,956906.33,111972.2,1957.11,-7.14
Langue,2011,5,18,10,2011,13,10,2012,956720.75,112202.31,1934.74,-8.0
Langue,2011,7,18,10,2011,13,10,2012,955625.65,113285.09,1748.23,-10.64
Langue,2011,8,18,10,2011,13,10,2012,955621.71,113430.06,1727.1,-9.87
Langue,2011,9,18,10,2011,13,10,2012,955660.59,113527.5,1718.38,-9.25
