profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2000,1,4,10,2000,1,11,2001,957144.74,111288.8,2054.46,-5.71
Langue,2000,2,4,10,2000,1,11,2001,957044.38,111580.32,2025.68,-6.79
Langue,2000,6,4,10,2000,1,11,2001,955621.23,113185.8,1812.33,-10.35
Langue,2000,7,4,10,2000,1,11,2001,955646.96,113364.73,1790.56,-10.35
Langue,2000,9,4,10,2000,1,11,2001,955504.12,114092.7,1682.2,-10.3
Langue,2000,10,4,10,2000,1,11,2001,955466.09,114364.42,1613.07,-9.94
Langue,2000,8,4,10,2000,1,11,2001,955588.72,113877.91,1711.03,-10.17
