profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2004,1,24,10,2004,30,9,2005,957185.25,111254.79,2050.41,-6.43
Langue,2004,2,24,10,2004,30,9,2005,957057.6,111565.86,2015.06,-6.48
Langue,2004,3,24,10,2004,30,9,2005,957031.78,111707.62,2008.19,-6.39
Langue,2004,4,24,10,2004,30,9,2005,956922.06,111937.78,1990.76,-7.24
Langue,2004,5,24,10,2004,30,9,2005,956720.17,112214.43,1961.84,-7.38
Langue,2004,7,24,10,2004,30,9,2005,955627.92,113309.48,1779.92,-9.08
Langue,2004,9,24,10,2004,30,9,2005,955516.12,114033.77,1668.23,-9.72
Langue,2004,10,24,10,2004,30,9,2005,955467.74,114240.02,1626.92,-9.49
