profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,1998,1,15,10,1998,20,10,1999,957096.56,111310.67,2052.72,-5.76
Langue,1998,3,15,10,1998,20,10,1999,957038.64,111780.96,2021.09,-7.02
Langue,1998,5,15,10,1998,20,10,1999,956752.85,112176.27,1984.15,-6.52
Langue,1998,6,15,10,1998,20,10,1999,955614.27,113292.04,1809.73,-8.73
Langue,1998,8,15,10,1998,20,10,1999,955571.39,113863.21,1720.45,-9.31
Langue,1998,10,15,10,1998,20,10,1999,955417.79,114427.05,1610.65,-9.72
