profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2001,1,1,11,2001,17,10,2002,957178.83,111272.09,2057.69,-6.3
Langue,2001,2,1,11,2001,17,10,2002,957054.56,111562.67,2024.57,-6.93
Langue,2001,3,1,11,2001,17,10,2002,957020.52,111747.3,2012.4,-6.66
Langue,2001,4,1,11,2001,17,10,2002,956896.16,111977.65,1995.4,-6.7
Langue,2001,5,1,11,2001,17,10,2002,956696.73,112236.98,1967.63,-7.26
Langue,2001,7,1,11,2001,17,10,2002,955623.7,113313.12,1794.67,-8.95
Langue,2001,8,1,11,2001,17,10,2002,955620.41,113867.21,1711.08,-8.91
Langue,2001,9,1,11,2001,17,10,2002,955510.03,114041.24,1682.07,-10.8
Langue,2001,10,1,11,2001,17,10,2002,955475.86,114249.18,1635.55,-10.03
