profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2008,1,30,9,2008,26,10,2009,957166.06,111291.54,2026.59,-7.82
Langue,2008,2,30,9,2008,26,10,2009,957059.49,111556.26,2000.69,-7.76
Langue,2008,3,30,9,2008,26,10,2009,957024.67,111740.57,1988.03,-7.56
Langue,2008,4,30,9,2008,26,10,2009,956904.78,111972.38,1970.67,-8.7
Langue,2008,5,30,9,2008,26,10,2009,956695.88,112234.4,1940.38,-8.82
Langue,2008,7,30,9,2008,26,10,2009,955628.25,113278.12,1766.45,-9.81
Langue,2008,8,30,9,2008,26,10,2009,955632.91,113393.4,1752.65,-10.69
Langue,2008,9,30,9,2008,26,10,2009,955655.14,113602.89,1723.99,-10.21
