profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,1996,1,3,11,1996,2,10,1997,957183.47,111228.67,2074.65,-6.07
Langue,1996,3,3,11,1996,2,10,1997,956996.13,111859.72,2020.78,-5.98
Langue,1996,5,3,11,1996,2,10,1997,956705.22,112209.58,1985.71,-6.21
Langue,1996,6,3,11,1996,2,10,1997,955616.48,113174.5,1826.72,-7.78
Langue,1996,8,3,11,1996,14,9,1997,955563.21,113945.49,1713.93,-7.96
Langue,1996,10,3,11,1996,2,10,1997,955423.48,114418.38,1625.1,-9.27
