profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Talefre,2008,1,10,9,2010,961238.41,112216.16,2757.84,7,9,2011,961236.39,112216.31,2754.19,2.04
Talefre,2008,3,10,9,2010,960469.45,112026.15,2695.56,7,9,2011,960462.43,112023.67,2690.17,7.51
Talefre,2010,1,10,9,2010,961241.27,112213.62,2758.06,7,9,2011,961239.2,112214.06,2754.68,2.13
Talefre,2010,2,10,9,2010,960863.14,112162.62,2739.48,7,9,2011,960858.93,112161.73,2735.52,4.34
Talefre,2010,3,10,9,2010,960486.64,112033.81,2698.32,7,9,2011,960479.21,112030.9,2693.23,8.05
Talefre,2010,4,10,9,2010,960092.68,111924.66,2629.01,7,9,2011,960088.74,111923.42,2623.18,4.16
Talefre,2010,5,10,9,2010,959767.76,111616.18,2596.92,7,9,2011,959765.51,111614.27,2592.39,2.98
