profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Talefre,2010,1,6,9,2012,961237.09,112214.5,2751.34,14,9,2013,961235.23,112214.24,2750.48,1.84
Talefre,2010,2,6,9,2012,960854.92,112160.93,2732.61,14,9,2013,960851.6,112160.15,2732.1,3.34
Talefre,2010,3,6,9,2012,960472.06,112028.12,2689.16,14,9,2013,960465.63,112025.24,2687.32,6.89
Talefre,2012,1,6,9,2012,961258.19,112222.13,2752.68,14,9,2013,961256.58,112221.97,2751.31,1.58
Talefre,2012,2,6,9,2012,960890.7,112167.69,2734.98,14,9,2013,960887.07,112167.35,2733.84,3.57
Talefre,2012,3,6,9,2012,960504.05,112040.15,2694.61,14,9,2013,960497.45,112037.52,2692.55,6.95
Talefre,2012,4,6,9,2012,960108.28,111919.92,2623.42,14,9,2013,960104.78,111919.03,2621.9,3.53
Talefre,2012,5,6,9,2012,959793.85,111633.1,2591.78,14,9,2013,959791.28,111631.67,2590.64,2.88
