profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Talefre,2016,2,6,9,2018,960892.68,112171.77,2724.56,12,9,2019,960890.5,112171.57,2721.43,2.15
Talefre,2016,3,6,9,2018,960491.4,112038.92,2678.49,12,9,2019,960488.07,112037.7,2675.61,3.49
Talefre,2016,4,6,9,2018,960120.24,111915.3,2609.08,12,9,2019,960118.48,111914.89,2606.09,1.78
Talefre,2018,1,6,9,2018,961239.4,112214.27,2739.98,12,9,2019,961238.36,112214.83,2737.47,1.16
Talefre,2018,2,6,9,2018,960861.17,112159.82,2722.09,12,9,2019,960858.98,112159.82,2717.94,2.15
Talefre,2018,3,6,9,2018,960494.71,112036.8,2679.37,12,9,2019,960491.29,112035.9,2677.18,3.48
Talefre,2018,4,6,9,2018,960116.58,111917.81,2608.14,12,9,2019,960114.81,111917.73,2604.81,1.74
Talefre,2018,5,6,9,2018,959789.02,111636.18,2572.75,12,9,2019,959787.18,111635.46,2568.76,1.94
