profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
acum,1998,2,10,9,1997,28,8,1998,953210.0,106820.0,3530.0,1.28
acum,1998,3,10,9,1997,28,8,1998,954320.0,106430.0,3370.0,0.14
acum,1998,4,10,9,1997,28,8,1998,955430.0,105770.0,3090.0,0.77
acum,1998,5,10,9,1997,28,8,1998,956070.0,106430.0,2930.0,0.06
acum,1998,7,10,9,1997,28,8,1998,957270.0,105590.0,3350.0,0.83
acum,1998,8,10,9,1997,28,8,1998,957040.0,105080.0,3300.0,0.38
