profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
acum,2016,1,4,9,2015,9,9,2016,953420.0,107630.0,3570.0,3.02
acum,2016,2,4,9,2015,9,9,2016,953210.0,106820.0,3530.0,3.02
acum,2016,4,4,9,2015,9,9,2016,955430.0,105770.0,3090.0,1.24
acum,2016,5,4,9,2015,9,9,2016,956070.0,106430.0,2930.0,1.35
acum,2016,9,4,9,2015,9,9,2016,954356.0,106064.0,3220.0,1.56
acum,2016,10,4,9,2015,9,9,2016,954792.0,105625.0,3130.0,1.54
acum,2016,11,4,9,2015,9,9,2016,955863.0,106597.0,2920.0,0.99
