profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
acum,2018,1,7,9,2017,5,9,2018,953420.0,107630.0,3570.0,1.06
acum,2018,2,7,9,2017,5,9,2018,953210.0,106820.0,3530.0,3.15
acum,2018,5,7,9,2017,5,9,2018,956070.0,106430.0,2930.0,0.66
acum,2018,9,7,9,2017,5,9,2018,954356.0,106064.0,3220.0,0.76
acum,2018,10,7,9,2017,5,9,2018,954792.0,105625.0,3130.0,1.15
acum,2018,11,7,9,2017,5,9,2018,955863.0,106597.0,2920.0,0.84
