profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
acum,1996,1,9,9,1995,11,9,1996,953420.0,107630.0,3570.0,1.54
acum,1996,3,9,9,1995,11,9,1996,954320.0,106430.0,3370.0,0.69
acum,1996,4,9,9,1995,11,9,1996,955430.0,105770.0,3090.0,1.23
acum,1996,5,9,9,1995,11,9,1996,956070.0,106430.0,2930.0,0.29
acum,1996,6,9,9,1995,11,9,1996,955930.0,107620.0,2750.0,0.19
acum,1996,7,9,9,1995,11,9,1996,957270.0,105590.0,3350.0,1.34
acum,1996,8,9,9,1995,11,9,1996,957040.0,105080.0,3300.0,1.2
