profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
acum,1999,1,10,9,1998,25,8,1999,953420.0,107630.0,3570.0,2.23
acum,1999,2,10,9,1998,25,8,1999,953210.0,106820.0,3530.0,3.19
acum,1999,4,10,9,1998,25,8,1999,955430.0,105770.0,3090.0,1.48
acum,1999,5,10,9,1998,25,8,1999,956070.0,106430.0,2930.0,1.9
acum,1999,9,10,9,1998,25,8,1999,954356.0,106064.0,3220.0,0.04
acum,1999,10,10,9,1998,25,8,1999,954792.0,105625.0,3130.0,1.87
