profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1993,7,10,9,1994,957110.26,110312.1,2163.82,9,9,1995,957140.16,110387.05,2159.03,80.92
Tacul,1993,8,10,9,1994,957081.69,110275.35,2167.0,9,9,1995,957112.38,110349.38,2161.97,80.36
Tacul,1993,10,10,9,1994,956994.53,110070.07,2179.91,9,9,1995,957026.11,110144.03,2174.07,80.64
Tacul,1993,12,10,9,1994,956921.72,109800.28,2197.73,9,9,1995,956947.47,109883.99,2191.8,87.82
Tacul,1993,13,10,9,1994,956884.75,109663.56,2206.9,9,9,1995,956903.47,109757.29,2200.52,95.84
Tacul,1993,16,10,9,1994,956856.52,109096.24,2257.23,9,9,1995,956839.2,109237.3,2242.37,142.51
Tacul,1994,8,10,9,1994,957079.31,110271.58,2167.34,9,9,1995,957110.31,110345.64,2162.25,80.51
Tacul,1994,9,10,9,1994,957042.17,110161.85,2173.2,9,9,1995,957073.93,110235.26,2167.54,80.21
Tacul,1994,10,10,9,1994,956994.32,110067.23,2180.22,9,9,1995,957025.74,110141.57,2174.22,80.93
Tacul,1994,11,10,9,1994,956967.04,109931.66,2188.58,9,9,1995,956996.77,110008.75,2182.39,82.85
Tacul,1994,12,10,9,1994,956920.2,109797.3,2197.84,9,9,1995,956945.81,109881.36,2191.78,88.12
Tacul,1994,13,10,9,1994,956883.37,109663.05,2207.04,9,9,1995,956902.49,109757.1,2200.45,96.24
Tacul,1994,14,10,9,1994,956870.43,109503.09,2218.52,9,9,1995,956880.7,109612.86,2210.54,110.55
Tacul,1994,16,10,9,1994,956854.24,109096.88,2257.03,9,9,1995,956837.24,109237.88,2242.18,142.41
Tacul,1994,17,10,9,1994,956853.0,109014.43,2263.15,9,9,1995,956834.19,109159.8,2249.93,146.98
