profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2002,21,11,9,2002,956895.35,109059.1,2255.66,3,9,2003,956876.25,109213.61,2235.63,159.17
Tacul,2002,20,11,9,2002,956882.37,109365.29,2223.33,3,9,2003,956880.79,109496.24,2207.13,133.89
Tacul,2002,19,11,9,2002,956889.4,109585.05,2203.06,3,9,2003,956904.35,109694.25,2191.12,112.69
Tacul,2002,16,11,9,2002,956961.14,109933.16,2176.62,3,9,2003,956993.47,110016.59,2166.74,91.48
Tacul,2002,14,11,9,2002,957054.16,110184.49,2159.12,3,9,2003,957087.84,110262.05,2150.45,86.45
Langue,2002,2,11,9,2002,957073.85,111510.76,2027.94,4,9,2003,957051.13,111583.04,2017.46,77.25
Langue,2002,4,11,9,2002,956920.87,111945.1,1996.61,4,9,2003,956881.84,112010.33,1987.16,77.5
Langue,2002,5,11,9,2002,956725.82,112198.91,1970.47,4,9,2003,956674.55,112251.78,1959.38,75.09
Langue,2002,6,8,9,2002,955598.94,113251.48,1800.95,4,9,2003,955600.42,113301.32,1789.43,50.41
Langue,2002,7,8,9,2002,955624.47,113118.23,1813.5,4,9,2003,955620.7,113173.07,1801.54,55.58
