profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Mer_de_Glace_histo,1983,52,9,9,1984,957028.37,110098.07,2195.47,12,9,1985,957077.43,110211.62,2189.22,122.69
Mer_de_Glace_histo,1984,1,9,9,1984,957134.37,110355.81,2181.86,12,9,1985,957179.0,110475.49,2177.44,126.69
Mer_de_Glace_histo,1984,2,9,9,1984,957163.9,110534.21,2173.33,12,9,1985,957192.69,110668.78,2161.31,136.49
Mer_de_Glace_histo,1984,4,8,9,1984,957096.56,110940.11,2117.58,12,9,1985,957061.04,111082.15,2093.67,144.83
Mer_de_Glace_histo,1984,5,8,9,1984,957088.68,111045.56,2100.18,12,9,1985,957051.8,111181.35,2085.07,139.18
Mer_de_Glace_histo,1984,6,8,9,1984,957041.42,111257.17,2078.9,12,9,1985,957012.3,111383.67,2072.4,128.4
Mer_de_Glace_histo,1984,7,8,9,1984,956993.85,111402.35,2070.97,12,9,1985,956964.13,111524.19,2063.59,124.05
Mer_de_Glace_histo,1984,8,8,9,1984,957005.53,111471.42,2062.97,12,9,1985,956973.12,111593.85,2054.65,125.27
Mer_de_Glace_histo,1984,9,8,9,1984,956957.06,111575.95,2057.84,12,9,1985,956920.87,111694.74,2049.74,122.83
Mer_de_Glace_histo,1984,10,8,9,1984,956908.13,111730.59,2043.51,12,9,1985,956860.78,111846.91,2036.18,124.23
Mer_de_Glace_histo,1984,51,9,9,1984,957114.42,110274.45,2185.75,12,9,1985,957161.44,110390.22,2181.41,123.94
Mer_de_Glace_histo,1984,52,9,9,1984,957028.37,110098.07,2195.47,12,9,1985,957077.43,110211.62,2189.22,122.69
Mer_de_Glace_histo,1984,53,9,9,1984,956994.29,109932.86,2205.13,12,9,1985,957041.22,110052.06,2197.39,127.06
Mer_de_Glace_histo,1984,54,9,9,1984,956954.6,109833.63,2212.09,12,9,1985,956997.87,109958.4,2203.94,130.98
Mer_de_Glace_histo,1984,55,9,9,1984,956910.4,109740.93,2218.78,12,9,1985,956948.08,109874.51,2210.39,137.66
Mer_de_Glace_histo,1984,56,9,9,1984,956877.2,109545.76,2232.46,12,9,1985,956896.62,109704.43,2221.0,158.55
Mer_de_Glace_histo,1984,57,9,9,1984,956872.43,109317.34,2254.71,12,9,1985,956869.33,109505.54,2237.38,186.69
