profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2013,2,14,9,2013,956870.5,109369.15,2181.26,3,9,2014,956866.99,109447.67,2171.91,81.04
Tacul,2013,3,14,9,2013,956888.31,109597.59,2160.14,3,9,2014,956896.11,109661.43,2152.67,66.31
Tacul,2013,4,14,9,2013,956952.99,109948.13,2134.75,3,9,2014,956972.41,109997.45,2127.92,54.65
Tacul,2013,5,14,9,2013,957056.9,110178.19,2116.22,3,9,2014,957078.25,110224.02,2109.84,52.13
Tacul,2013,6,14,9,2013,957010.76,110184.77,2117.05,3,9,2014,957031.78,110230.76,2110.7,52.14
Tacul,2013,7,14,9,2013,956971.17,110190.02,2119.24,3,9,2014,956992.26,110235.83,2113.06,52.0
Tacul,2013,8,14,9,2013,956982.02,110232.28,2117.38,3,9,2014,957003.05,110277.97,2111.71,51.86
Tacul,2013,9,14,9,2013,957020.45,110223.46,2114.37,3,9,2014,957041.48,110269.58,2108.06,52.26
Tacul,2013,10,14,9,2013,957065.43,110215.61,2113.84,3,9,2014,957086.29,110261.47,2107.97,51.95
Langue,2013,1,14,9,2013,957190.17,111232.54,2014.41,3,9,2014,957175.83,111279.25,2006.04,50.38
Langue,2013,2,14,9,2013,957059.52,111528.99,1981.53,3,9,2014,957045.72,111571.68,1975.09,46.26
Langue,2013,3,14,9,2013,957035.25,111710.21,1971.09,3,9,2014,957018.07,111749.84,1965.0,44.54
Langue,2013,4,14,9,2013,956916.02,111951.45,1951.9,3,9,2014,956892.97,111988.47,1945.08,44.96
Langue,2013,5,14,9,2013,956724.56,112212.46,1922.82,3,9,2014,956694.31,112242.32,1914.96,43.83
Langue,2013,6,14,9,2013,955636.17,113139.49,1756.76,3,9,2014,955634.02,113166.04,1749.06,27.46
Langue,2013,7,14,9,2013,955622.3,113284.44,1737.24,3,9,2014,955622.22,113306.64,1729.54,22.89
Langue,2013,8,14,9,2013,955620.2,113428.5,1717.95,3,9,2014,955621.58,113448.41,1710.84,20.58
