profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2006,1,5,9,2006,956883.71,109070.26,2239.7,4,9,2007,956870.25,109189.53,2223.06,120.36
Tacul,2006,2,5,9,2006,956879.8,109367.86,2208.17,4,9,2007,956878.5,109469.73,2195.35,102.16
Tacul,2006,3,5,9,2006,956884.31,109594.09,2188.23,4,9,2007,956896.57,109678.54,2178.48,85.57
Tacul,2006,4,5,9,2006,956946.95,109930.98,2164.92,4,9,2007,956971.69,109997.67,2156.24,71.33
Tacul,2006,5,5,9,2006,957025.15,110187.22,2145.1,4,9,2007,957051.89,110248.93,2136.35,67.44
Tacul,2006,6,5,9,2006,956969.84,110184.75,2147.8,4,9,2007,956996.98,110245.78,2140.09,66.98
Tacul,2006,7,5,9,2006,956971.41,110215.74,2147.75,4,9,2007,956999.36,110277.24,2139.91,67.74
Tacul,2006,8,5,9,2006,957043.69,110212.6,2143.59,4,9,2007,957071.83,110274.81,2134.75,68.47
Tacul,2006,9,5,9,2006,957085.63,110201.13,2143.92,4,9,2007,957112.45,110263.49,2135.43,68.07
Langue,2006,5,8,9,2006,956702.19,112213.53,1954.71,4,9,2007,956659.87,112257.07,1944.74,61.39
Langue,2006,4,8,9,2006,956915.47,111952.14,1982.23,4,9,2007,956883.28,112005.0,1972.75,62.58
Langue,2006,3,8,9,2006,957038.91,111721.83,2000.61,19,6,2007,957020.75,111763.48,1996.69,58.4
Langue,2006,2,8,9,2006,957067.4,111524.48,2013.06,4,9,2007,957048.31,111584.2,2003.51,63.39
Langue,2006,1,8,9,2006,957193.34,111228.74,2047.57,4,9,2007,957173.1,111291.7,2035.99,66.87
