profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1997,20,17,9,1997,956923.44,108930.56,2276.35,16,9,1998,956903.51,109092.21,2257.7,163.32
Tacul,1997,19,17,9,1997,956894.65,109214.08,2246.3,16,9,1998,956882.73,109356.25,2228.49,143.06
Tacul,1997,18,17,9,1997,956883.94,109348.01,2231.92,16,9,1998,956881.43,109478.92,2216.93,131.29
Tacul,1997,17,17,9,1997,956863.73,109509.91,2215.62,16,9,1998,956871.84,109624.82,2204.12,115.51
Tacul,1997,16,17,9,1997,956883.55,109677.01,2203.69,16,9,1998,956904.3,109774.81,2194.73,100.25
Tacul,1997,15,17,9,1997,956922.24,109825.68,2193.58,16,9,1998,956949.88,109912.24,2185.7,91.12
Langue,1997,1,14,9,1997,957131.4,111197.59,2068.93,16,9,1998,957107.6,111280.65,2056.91,85.93
Langue,1997,3,14,9,1997,957009.4,111768.62,2024.43,16,9,1998,956975.86,111842.24,2015.87,80.46
