profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1999,28,9,9,2000,956886.22,109296.07,2230.91,7,9,2001,956881.26,109424.69,2217.73,129.42
Tacul,2000,21,9,9,2000,956891.76,109060.51,2257.18,7,9,2001,956873.83,109206.65,2241.1,148.05
Tacul,2000,20,9,9,2000,956878.01,109370.62,2224.5,7,9,2001,956878.35,109493.26,2212.95,123.32
Tacul,2000,19,9,9,2000,956887.12,109594.34,2203.34,7,9,2001,956900.9,109695.47,2195.51,102.63
Tacul,2000,16,9,9,2000,956956.68,109942.94,2179.44,7,9,2001,956986.86,110019.37,2173.29,82.63
Tacul,2000,14,9,9,2000,957058.46,110176.33,2161.96,7,9,2001,957090.61,110248.46,2155.57,79.41
Langue,2000,1,9,9,2000,957155.75,111251.19,2059.73,7,9,2001,957133.74,111326.41,2049.19,78.81
Langue,2000,2,9,9,2000,957055.17,111545.92,2029.95,7,9,2001,957033.58,111614.72,2021.41,72.51
Langue,2000,6,10,9,2000,955621.94,113159.07,1817.39,8,9,2001,955620.51,113212.53,1807.28,53.77
Langue,2000,7,10,9,2000,955646.34,113339.59,1796.0,8,9,2001,955647.57,113389.88,1785.12,50.58
Langue,2000,8,11,9,2000,955594.3,113856.8,1716.45,8,9,2001,955583.14,113899.02,1705.61,44.03
