profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1998,20,11,9,1999,956887.5,109234.56,2241.45,9,9,2000,956878.01,109370.62,2224.5,137.14
Tacul,1998,19,11,9,1999,956879.83,109479.46,2215.97,9,9,2000,956887.12,109594.34,2203.34,115.75
Tacul,1998,17,11,9,1999,956887.39,109722.57,2196.48,9,9,2000,956876.71,109851.96,2176.5,130.55
Tacul,1998,16,11,9,1999,956927.91,109859.69,2187.77,9,9,2000,956956.68,109942.94,2179.44,88.57
Tacul,1998,14,11,9,1999,957024.52,110101.57,2169.58,9,9,2000,957058.46,110176.33,2161.96,82.56
Tacul,1999,33,11,9,1999,956880.2,108785.43,2286.61,9,9,2000,956856.19,108957.81,2263.14,175.0
Tacul,1999,32,11,9,1999,956897.26,108842.87,2275.71,9,9,2000,956874.8,109006.31,2257.22,165.88
Tacul,1999,31,11,9,1999,956912.83,108903.07,2275.43,9,9,2000,956891.76,109060.51,2257.18,159.72
Tacul,1999,30,11,9,1999,956915.09,108993.32,2264.41,9,9,2000,956896.63,109143.59,2246.93,152.23
Tacul,1999,29,11,9,1999,956914.13,109066.32,2259.73,9,9,2000,956897.03,109212.63,2240.85,148.12
Tacul,1999,28,11,9,1999,956900.12,109155.03,2248.2,9,9,2000,956886.22,109296.07,2230.91,142.5
Langue,1999,1,13,9,1999,957122.95,111273.1,2056.94,9,9,2000,957101.77,111349.63,2046.58,80.29
Langue,1999,11,13,9,1999,957060.53,111523.68,2033.81,9,9,2000,957038.68,111595.88,2025.33,76.27
Langue,1999,3,13,9,1999,956991.24,111691.94,2020.11,9,9,2000,956964.07,111761.51,2012.85,75.51
Langue,1999,12,13,9,1999,956924.87,111904.79,2008.66,9,9,2000,956888.08,111970.66,2000.52,76.28
Langue,1999,13,13,9,1999,955640.64,113319.61,1802.58,10,9,2000,955643.18,113370.69,1792.49,51.57
Langue,1999,8,13,9,1999,955580.98,113820.13,1725.48,11,9,2000,955567.68,113866.85,1712.45,48.84
Langue,1999,14,13,9,1999,955502.8,114088.52,1685.98,11,9,2000,955492.15,114129.47,1674.85,42.55
Langue,1999,10,13,9,1999,955458.32,114324.32,1635.53,11,9,2000,955445.5,114361.13,1623.75,39.19
