profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2011,3,6,9,2011,956883.58,109591.67,2169.96,6,9,2012,956892.62,109663.7,2159.73,72.6
Tacul,2011,2,6,9,2011,956875.1,109369.8,2191.12,6,9,2012,956871.91,109456.58,2177.76,86.84
Tacul,2011,1,6,9,2011,956894.1,109054.14,2224.14,6,9,2012,956880.76,109157.91,2207.78,104.62
Tacul,2011,4,6,9,2011,956949.65,109944.88,2144.29,6,9,2012,956971.44,109999.5,2135.42,58.81
Tacul,2011,5,6,9,2011,957057.76,110174.83,2126.09,6,9,2012,957082.21,110227.03,2117.86,57.64
Tacul,2011,6,6,9,2011,957029.33,110205.06,2126.01,6,9,2012,957052.79,110255.71,2117.24,55.82
Tacul,2011,7,6,9,2011,956983.66,110213.72,2127.16,6,9,2012,957007.07,110265.63,2118.67,56.94
Tacul,2011,8,6,9,2011,956987.72,110244.3,2123.62,6,9,2012,957011.4,110296.1,2116.14,56.96
Tacul,2011,9,6,9,2011,957029.09,110248.18,2120.68,6,9,2012,957052.87,110299.63,2113.25,56.68
Tacul,2011,10,6,9,2011,957070.16,110245.08,2120.45,6,9,2012,957094.32,110296.47,2112.7,56.79
Langue,2011,1,6,9,2011,957190.19,111239.15,2025.13,6,9,2012,957173.42,111291.83,2013.69,55.28
Langue,2011,2,6,9,2011,957063.56,111525.81,1992.02,6,9,2012,957047.83,111573.91,1982.66,50.61
Langue,2011,4,6,9,2011,956919.65,111950.63,1961.93,6,9,2012,956893.02,111993.78,1952.28,50.71
Langue,2011,8,6,9,2011,955621.47,113417.37,1731.75,6,9,2012,955621.96,113442.75,1722.45,25.38
Langue,2011,9,6,9,2011,955660.71,113515.41,1722.57,6,9,2012,955660.46,113539.58,1714.19,24.17
