profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2010,1,15,9,2010,956892.12,109055.24,2228.14,6,9,2011,956878.35,109160.5,2212.0,108.84
Tacul,2010,2,15,9,2010,956877.55,109363.26,2193.27,6,9,2011,956874.99,109450.28,2180.55,89.26
Tacul,2010,3,15,9,2010,956886.43,109591.48,2173.96,6,9,2011,956896.24,109663.78,2163.83,74.81
Tacul,2010,4,15,9,2010,956959.85,109941.48,2148.07,6,9,2011,956982.56,109996.9,2139.51,61.41
Tacul,2010,5,15,9,2010,957063.47,110177.37,2129.78,6,9,2011,957087.7,110229.48,2122.01,58.92
Tacul,2010,6,15,9,2010,957026.11,110199.7,2128.78,6,9,2011,957049.83,110252.27,2120.68,59.13
Tacul,2010,7,15,9,2010,957028.55,110229.28,2127.9,6,9,2011,957052.45,110282.05,2120.32,59.39
Tacul,2010,8,15,9,2010,957077.72,110220.63,2127.16,6,9,2011,957101.21,110272.92,2119.84,58.77
Tacul,2010,9,15,9,2010,957123.0,110204.02,2126.6,6,9,2011,957146.63,110256.11,2119.31,58.65
Tacul,2010,10,15,9,2010,957108.77,110159.06,2128.41,6,9,2011,957132.48,110210.54,2120.78,58.11
Langue,2010,2,15,9,2010,957069.04,111556.26,1994.95,6,9,2011,957053.24,111603.68,1986.52,51.25
Langue,2010,3,15,9,2010,957043.26,111721.52,1984.33,6,9,2011,957023.57,111767.03,1976.56,50.84
Langue,2010,4,15,9,2010,956917.28,111941.89,1967.31,6,9,2011,956891.16,111985.75,1958.69,52.34
