profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2014,1,3,9,2014,956888.78,109053.86,2214.5,8,9,2015,956876.07,109155.25,2196.78,100.8
Tacul,2014,2,3,9,2014,956875.91,109355.45,2181.27,8,9,2015,956871.09,109438.38,2167.54,81.95
Tacul,2014,3,3,9,2014,956883.37,109594.03,2159.65,8,9,2015,956890.19,109661.61,2147.96,67.01
Tacul,2014,4,3,9,2014,956950.34,109948.24,2131.93,8,9,2015,956968.64,109998.97,2120.78,53.2
Tacul,2014,5,3,9,2014,957058.78,110180.72,2113.87,8,9,2015,957079.01,110227.45,2103.15,50.23
Tacul,2014,6,3,9,2014,957019.13,110205.46,2113.37,8,9,2015,957039.35,110252.21,2102.62,50.25
Tacul,2014,7,3,9,2014,956983.58,110208.97,2115.91,8,9,2015,957003.86,110256.07,2105.69,50.59
Tacul,2014,8,3,9,2014,956969.67,110163.21,2117.87,8,9,2015,956990.13,110210.5,2107.54,50.83
Tacul,2014,9,3,9,2014,957010.15,110151.41,2116.09,8,9,2015,957030.56,110198.74,2105.22,50.85
Tacul,2014,10,3,9,2014,957048.11,110142.42,2115.68,8,9,2015,957068.42,110189.13,2105.11,50.25
Langue,2014,1,3,9,2014,957187.93,111230.44,2012.63,8,9,2015,957173.11,111277.38,1999.46,48.56
Langue,2014,2,3,9,2014,957066.54,111523.11,1980.24,12,8,2015,957053.3,111561.91,1970.81,43.63
Langue,2014,4,3,9,2014,956916.26,111945.43,1948.79,12,8,2015,956895.84,111978.35,1938.72,41.22
