profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2000,21,7,9,2001,956873.83,109206.65,2241.1,11,9,2002,956860.83,109353.68,2223.89,146.0
Tacul,2000,19,7,9,2001,956900.9,109695.47,2195.51,11,9,2002,956924.04,109794.4,2185.95,100.5
Tacul,2000,16,7,9,2001,956986.86,110019.37,2173.29,11,9,2002,957020.76,110098.72,2164.99,85.35
Tacul,2000,14,7,9,2001,957090.61,110248.46,2155.57,11,9,2002,957123.42,110325.98,2148.62,83.26
Langue,2001,1,7,9,2001,957190.34,111233.72,2063.47,11,9,2002,957167.33,111310.46,2051.91,79.25
Langue,2001,2,7,9,2001,957066.11,111527.07,2029.17,11,9,2002,957043.01,111598.28,2019.96,74.05
Langue,2001,3,7,9,2001,957034.74,111714.0,2016.11,11,9,2002,957006.29,111780.61,2008.68,71.65
Langue,2001,4,7,9,2001,956915.29,111946.03,1999.91,11,9,2002,956877.03,112009.26,1990.89,73.1
Langue,2001,5,7,9,2001,956722.82,112211.2,1972.3,11,9,2002,956670.63,112262.76,1962.96,72.57
Langue,2001,7,8,9,2001,955623.6,113288.8,1799.52,8,9,2002,955623.8,113337.43,1789.83,48.63
Langue,2001,8,8,9,2001,955626.7,113846.72,1716.83,8,9,2002,955614.11,113887.7,1705.34,42.87
Langue,2001,9,8,9,2001,955513.78,114022.81,1687.35,8,9,2002,955506.29,114059.66,1676.8,37.6
