profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2017,1,5,9,2017,956894.75,109054.91,2205.03,28,9,2018,956881.66,109157.72,2188.03,97.5
Tacul,2017,2,5,9,2017,956875.02,109365.81,2168.3,28,9,2018,956871.09,109448.81,2156.45,78.17
Tacul,2017,3,5,9,2017,956887.57,109599.96,2145.83,28,9,2018,956895.32,109667.8,2135.82,64.23
Tacul,2017,4,5,9,2017,956956.44,109941.48,2118.43,28,9,2018,956976.52,109993.62,2109.32,52.56
Tacul,2017,5,5,9,2017,957054.94,110175.93,2098.25,28,9,2018,957076.91,110223.79,2089.93,49.54
Tacul,2017,6,5,9,2017,957083.74,110167.7,2098.16,28,9,2018,957105.21,110215.18,2090.13,49.02
Tacul,2017,7,5,9,2017,957073.79,110194.86,2096.18,28,9,2018,957095.63,110242.24,2087.88,49.08
Langue,2017,1,5,9,2017,957192.91,111243.79,1993.29,28,9,2018,957178.4,111290.26,1981.53,45.8
Langue,2017,2,5,9,2017,957066.97,111532.4,1962.86,28,9,2018,957052.51,111572.02,1953.64,39.68
Langue,2017,6,5,9,2017,955625.33,113136.2,1729.81,11,7,2018,955623.67,113151.26,1725.08,17.9
Langue,2017,7,6,9,2018,955623.21,113302.72,1703.48,28,9,2018,955623.07,113303.71,1700.75,16.59
Langue,2018,4,12,9,2018,956919.72,111950.02,1923.96,28,9,2018,956918.68,111951.62,1921.21,43.53
Langue,2018,5,12,9,2018,956729.41,112213.2,1894.57,28,9,2018,956728.19,112214.67,1891.76,43.58
Langue,2018,6,12,9,2018,955626.38,113138.55,1724.31,28,9,2018,955626.44,113139.59,1719.36,23.76
