profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1991,12,13,9,1992,956883.23,109604.4,2215.65,11,9,1993,956899.24,109706.18,2206.67,103.6
Tacul,1992,5,13,9,1992,957156.81,110410.95,2165.81,11,9,1993,957183.71,110493.23,2158.7,87.04
Tacul,1992,6,13,9,1992,957094.04,110268.9,2172.88,11,9,1993,957125.45,110346.13,2165.61,83.83
Tacul,1992,7,13,9,1992,957044.58,110159.39,2179.07,11,9,1993,957077.41,110235.72,2171.55,83.55
Tacul,1992,8,13,9,1992,957015.9,110123.19,2181.93,11,9,1993,957048.48,110199.4,2174.51,83.34
Tacul,1992,9,13,9,1992,956977.34,110013.48,2189.06,11,9,1993,957009.78,110091.47,2181.12,84.93
Tacul,1992,10,13,9,1992,956932.43,109909.63,2196.23,11,9,1993,956962.21,109991.11,2188.53,87.23
Tacul,1992,11,13,9,1992,956911.99,109759.16,2205.38,11,9,1993,956936.77,109848.75,2197.24,93.47
Tacul,1992,12,13,9,1992,956883.23,109604.4,2215.65,11,9,1993,956899.24,109706.18,2206.67,103.6
Tacul,1992,13,13,9,1992,956867.31,109439.63,2228.46,11,9,1993,956872.0,109556.5,2216.88,117.61
