profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,2007,2,4,9,2007,956883.75,109365.84,2205.87,3,9,2008,956882.95,109464.48,2193.3,98.91
Tacul,2007,3,4,9,2007,956886.43,109588.53,2185.51,3,9,2008,956898.3,109670.84,2176.27,83.39
Tacul,2007,4,4,9,2007,956954.6,109938.28,2159.87,3,9,2008,956979.02,110001.67,2151.94,68.12
Tacul,2007,10,4,9,2007,957053.79,110140.92,2143.35,3,9,2008,957080.05,110200.74,2135.25,65.51
Tacul,2007,5,4,9,2007,957060.68,110183.95,2140.91,3,9,2008,957086.56,110243.92,2133.03,65.5
Tacul,2007,6,4,9,2007,957022.34,110194.26,2141.45,3,9,2008,957048.09,110254.03,2133.84,65.26
Tacul,2007,7,4,9,2007,956975.84,110207.45,2142.37,3,9,2008,957001.93,110267.02,2135.33,65.21
Tacul,2007,8,4,9,2007,956956.83,110161.66,2144.43,3,9,2008,956983.55,110221.06,2137.1,65.31
Tacul,2007,9,4,9,2007,957008.13,110150.1,2143.49,3,9,2008,957034.49,110210.13,2135.44,65.74
Langue,2007,1,4,9,2007,957190.3,111230.86,2042.71,3,9,2008,957171.53,111291.99,2032.64,64.12
Langue,2007,3,4,9,2007,957040.0,111710.31,1996.0,3,9,2008,957017.34,111763.99,1989.16,58.43
Langue,2007,4,4,9,2007,956919.11,111943.93,1978.36,3,9,2008,956888.22,111995.28,1970.45,60.09
Langue,2007,8,4,9,2007,955635.02,113393.38,1756.94,3,9,2008,955635.91,113428.23,1748.76,34.96
Langue,2007,9,4,9,2007,955652.88,113601.35,1731.03,3,9,2008,955651.71,113635.35,1721.6,34.11
