profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Tacul,1991,6,14,9,1991,957059.79,110190.09,2181.09,13,9,1992,957094.04,110268.9,2172.88,86.17
Tacul,1991,7,14,9,1991,957009.81,110080.54,2187.7,13,9,1992,957044.58,110159.39,2179.07,86.41
Tacul,1991,8,14,9,1991,956981.48,110043.33,2190.41,13,9,1992,957015.9,110123.19,2181.93,87.2
Tacul,1991,9,14,9,1991,956944.59,109930.63,2197.95,13,9,1992,956977.34,110013.48,2189.06,89.33
Tacul,1991,10,14,9,1991,956903.92,109821.3,2205.5,13,9,1992,956932.43,109909.63,2196.23,93.07
Tacul,1991,11,14,9,1991,956890.21,109659.55,2215.06,13,9,1992,956911.99,109759.16,2205.38,102.24
Tacul,1991,12,14,9,1991,956874.07,109489.32,2227.74,13,9,1992,956883.23,109604.4,2215.65,115.76
